,Actual,Predicted
167,11.11,15.532908215485449
211,15.0,20.3007498237572
63,40.0,27.13129988114528
154,12.86,24.819102640570833
5,13.14,17.805949837027207
77,11.5,4.699250680262274
183,40.0,26.477447095463013
158,16.0,20.220872922722144
9,25.48,28.298820811314947
139,18.0,19.963245928912322
285,21.37,25.701286330823365
78,20.0,18.776148630666498
92,31.54,27.65311487662548
101,15.0,13.034827004105082
42,7.5,17.310270776043538
222,16.69,21.207363976906855
283,17.1,24.869686335246698
33,9.75,17.243403469463352
263,16.0,21.46827219536705
148,13.21,22.98959792956812
245,15.0,16.918909169073345
45,27.0,21.714471113533698
60,12.25,27.7167009585553
46,18.14,21.231807412765633
278,8.2,16.312351646215653
237,26.44,22.652086827522318
175,15.0,21.848207168134252
234,17.36,25.574114166963724
17,50.48,13.556643441025464
279,16.01,18.48265733255564
111,15.0,18.166309883158434
219,27.5,26.477447095463013
24,21.31,21.63459277105845
82,22.67,10.274254614012648
7,12.79,22.058537457679314
75,7.69,24.093527012047232
108,14.19,21.02475258211021
84,34.4,23.04503571906495
90,10.5,8.377866740587724
73,13.29,12.627176019469829
116,23.72,27.5112334124723
126,8.5,20.383910832322996
233,15.0,19.064777185315286
59,11.25,19.16422901298632
195,14.5,16.253628307747903
208,60.0,26.117087049331786
97,29.09,24.48975280391967
185,8.32,21.376965777248635
176,19.5,19.425137231446513
124,16.35,25.665420585082146
93,15.7,17.27926921520457
294,50.0,28.104781340875128
182,9.0,20.847003930775628
275,24.04,26.311126519771605
192,14.95,12.123348666053175
292,18.46,28.021620332309332
25,10.0,23.57170913368666
224,22.0,26.244266420392343
6,10.0,22.704244833808964
181,29.07,17.43744293990318
